Compound.Name,Cnum.u,O_C_ratio.u,OSc.u,cstar.u
1128_1901_blob_1726,12.7374,0.181902495,-1.030111849,2.968204952
1206_0924_blob_315,20.4074,0.285690096,-0.442956991,0.119320385
1213_2145_blob_811,9.159266667,0.505491923,-0.181357456,3.109148165
1128_1901_blob_901,7.582333333,0.577313828,-0.44291978,4.190657854
1221_0832_blob_890,8.400133333,0.577749364,-0.304157032,3.313856315
1128_1901_blob_1933,7.508633333,0.403902291,-0.416313039,4.604245075
1202_1412_blob_1661,17.71233333,0.311527143,-1.662638637,1.633268438
1128_1901_blob_1076,7.4964,0.546715675,-0.270473392,4.33269791
1202_0046_blob_1622,16.17463333,0.246847748,-1.033855895,1.56359065
1206_0924_blob_427,9.519633333,0.454999168,-0.130980366,2.924039939
1221_0832_blob_801,8.674466667,0.41741019,-0.847043678,3.641042319
1213_2145_blob_1263,9.295066667,0.572570113,-0.290748388,3.024592555
1129_1334_blob_1107,11.949,0.4639166,-0.789588378,2.730892078
1128_1901_blob_1988,22.91913333,0.32678257,-1.308561389,-0.301524824
1128_1901_blob_1147,6.6442,0.655291376,-0.000866584,4.219901396
1206_0924_blob_1022,16.3639,0.517790129,-0.394781924,0.838187213
1206_0924_blob_1442,21.54703333,0.527351586,-0.319872186,-0.684402381
1129_1334_blob_1284,12.11546667,0.544204126,-0.542885259,2.772163883
1202_0046_blob_1210,14.1732,0.437958795,-1.224742672,2.602022262
1129_1334_blob_1408,11.881,0.538652738,-0.591450915,2.421315329
1128_1901_blob_1365,15.33916667,0.117804227,-1.215225706,2.309487227
1206_0924_blob_476,13.77943333,0.540173986,-0.201128991,1.383003997
1206_0924_blob_823,13.775,0.518945073,-0.306582937,1.250688959
1128_1901_blob_1630,8.2898,0.432639694,-0.745021754,3.858268935
1202_0046_blob_1639,13.43546667,0.475949948,-0.911418151,2.173836519
1202_1412_blob_1499,7.738766667,0.37236678,-0.509057597,4.128015953
1128_1901_blob_1309,12.443,0.232362931,-1.828245922,3.713848884
1128_1901_blob_1004,7.350233333,0.645285207,-0.359033502,4.002688982
1129_1334_blob_1323,11.8961,0.457378703,-0.893315141,2.797958759
1128_1901_blob_818,12.7303,0.367214744,-0.789669371,2.077750599
1129_1334_blob_1406,10.7931,0.111349125,-1.459006024,4.203190802
1128_1901_blob_1390,9.1638,0.375009668,-0.664444027,4.662732155
1216_0703_blob_736,11.71043333,0.531992269,-0.268404652,2.480042828
Blob with BlobID = 7,7.9643,0.307214027,-0.321799297,3.847088028
1206_0924_blob_233,6.823666667,0.602759615,-0.036343382,3.534331307
1221_0832_blob_1435,15.05533333,0.33191524,-1.292697385,2.091064464
1221_0832_blob_1194,7.689266667,0.514883786,-0.310056685,3.739471798
1128_1901_blob_1081,16.23153333,0.317794871,-1.221110459,1.210242429
1128_1901_blob_1728,19.0199,0.199504503,-1.816118055,1.947752
1128_1901_blob_1240,19.3102,0.582594722,-1.346926314,0.648011774
1128_1901_blob_1499,15.4913,0.323102073,-1.358655901,1.452007001
1128_1901_blob_802,7.2389,0.531565933,-0.233366933,4.140526071
1205_0335_blob_905,15.23406667,0.330666485,-1.286145657,1.483407941
1221_0832_blob_1086,9.279066667,0.571090163,-0.302719369,3.174563974
1128_1901_blob_1735,7.439966667,0.600319578,-0.385503445,3.793046977
1128_1901_blob_1451,7.434066667,0.588530948,-0.195808835,3.741801155
1206_0924_blob_69,11.59703333,0.16399432,-1.290252118,3.344740451
1221_0832_blob_974,7.826566667,0.558850108,-0.434227025,3.641042319
1221_0832_blob_1482,13.53453333,0.359359989,-1.099801688,2.512419017
1221_0832_blob_910,13.14326667,0.223114943,-1.203722132,3.117815245
1205_0335_blob_918,9.106833333,0.407898941,-0.670657978,3.573098616
1206_0924_blob_911,14.7735,0.537094233,-0.368437007,0.926620273
1221_0832_blob_1051,12.7679,0.411309293,-1.026979714,2.60191769
1128_1901_blob_1125,14.3843,0.580698906,-0.524447954,1.36521972
1221_0832_blob_224,10.56886667,0.578119215,-0.349764689,2.71541515
1202_1412_blob_1414,13.9875,0.383288778,-0.885990848,2.068288542
1128_1901_blob_1389,14.35106667,0.485304389,-0.750615721,1.799156128
1202_1412_blob_1554,12.7712,0.394659322,-0.930655335,2.461173191
1221_0832_blob_872,9.6062,0.641403603,-0.476560736,3.215835778
1221_0832_blob_1295,9.169866667,0.589907704,-0.343717508,3.246789634
1206_0924_blob_117,21.50856667,0.269204681,-0.572642507,-1.02952732
1202_0046_blob_1222,12.8937,0.489136003,-0.672942887,2.162532291
1129_1334_blob_1515,12.49436667,0.574639799,-0.448380116,2.148004269
1129_1334_blob_821,10.10873333,0.56704066,-0.590836349,2.880502368
1221_0832_blob_994,10.5133,0.73021339,-0.157319994,2.569358822
1129_1334_blob_1068,10.87106667,0.276409662,-0.816934815,3.117815245
1221_0832_blob_1198,7.793633333,0.587624203,-0.46127422,3.795717213
1202_1412_blob_1395,10.36496667,0.553191727,-0.553150565,2.875343392
1202_1412_blob_1090,10.69556667,0.485387586,-0.697250824,2.916615196
1221_0832_blob_977,7.731033333,0.589650964,-0.249197279,3.462931832
1128_1901_blob_1123,15.462,0.330618332,-1.15949177,1.284631529
1221_0832_blob_704,8.278633333,0.582850602,-0.477432849,3.575422666
1202_1412_blob_785,7.846766667,0.536190991,-0.298221674,3.592722394
1221_0832_blob_1286,10.22813333,0.55972343,-0.532681098,2.963045976
1128_1901_blob_1218,13.89246667,0.461673968,-0.994803881,2.173836519
1129_1334_blob_1297,6.987533333,0.722717218,-0.117641763,4.211546099
1205_0335_blob_842,11.94013333,0.145151252,-0.80844519,3.116524638
1128_1901_blob_1295,9.196433333,0.41847514,-0.978861398,3.751118576
1128_1901_blob_1549,8.111266667,0.587142678,-0.370115276,3.429667498
1213_2145_blob_874,7.969566667,0.76619198,-0.12323865,4.01235581
1206_0924_blob_494,21.33026667,0.396081884,-0.347191894,-0.459025339
1221_0832_blob_43,10.05343333,0.635441219,-0.164548318,2.828912611
1221_0832_blob_1094,11.78913333,0.601951238,-0.895830812,3.138451145
1221_0832_blob_934,6.482233333,0.780561895,0.013439785,4.119128359
1221_2326_blob_902,9.119033333,0.463446737,-0.946648756,3.9278002
1221_0832_blob_884,7.633366667,0.610061445,-0.208487101,3.537925724
1206_0924_blob_424,11.74056667,0.421328893,-0.290494151,2.557758396
1206_0924_blob_182,9.0916,0.454520527,-0.175061094,3.001947441
1213_2145_blob_1521,13.3983,0.483934117,-0.815483552,2.094480853
1221_0832_blob_954,9.420166667,0.612598557,-0.270341121,2.978522904
1202_1412_blob_615,11.07673333,0.165528695,-1.358232342,3.387739096
1206_0924_blob_1143,25.02536667,0.431372333,-0.628037044,-0.8648086
1129_1334_blob_1546,6.485,0.616352767,-0.316226638,4.516514452
1129_1334_blob_957,7.5276,0.615637057,-0.622265728,3.61601595
1128_1901_blob_1191,8.008933333,0.594302205,-0.4317106,3.452961054
Blob with BlobID = 580,11.62596667,0.089657136,-0.895060652,4.308300442
1128_1901_blob_1684,11.89203333,0.433381517,-0.659543823,2.48470273
1129_1334_blob_1840,14.7358,0.284705726,-1.337867893,2.364375524
